"BN/Registration number","Fiscal period end","Form ID","300","305","310","315","320","325","330","335","340","345","370","380","390"
"100878800RR0001",2024-8-31 00:00:00,"27",2,,2,,,,,,,,3,$39058.00,$268402.00
"100878826RR0001",2024-3-31 00:00:00,"27",5,8,2,,,,,,,,5,$65821.00,$324370.00
"100878834RR0001",2024-3-31 00:00:00,"27",7,6,1,,,,,,,,,,$348970.00
"100879576RR0001",2024-3-31 00:00:00,"27",1,,1,,,,,,,,6,$154863.00,$196569.00
"100879923RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,4,$211419.00,$211419.00
"100880699RR0001",2024-3-31 00:00:00,"27",6,5,1,,,,,,,,,,$330866.00
"100880822RR0001",2024-3-31 00:00:00,"27",11,,10,,,,,,,,,,$542743.00
"100881333RR0001",2024-3-31 00:00:00,"27",11,7,3,,,,,,,,23,$296381.00,$760270.00
"100882893RR0001",2024-3-31 00:00:00,"27",11,1,8,1,,,,,,,4,$74599.00,$778959.00
"100883248RR0001",2024-3-31 00:00:00,"27",15,8,6,,,,,,,,,,$443108.00
"100883842RR0001",2024-9-30 00:00:00,"27",1,1,,,,,,,,,,,$13574.00
"100884188RR0001",2024-3-31 00:00:00,"27",1,2,,,,,,,,,1,$18242.00,$62120.00
"100884329RR0001",2024-3-31 00:00:00,"27",11,7,4,,,,,,,,7,,$312504.00
"100884584RR0001",2024-6-30 00:00:00,"27",3,,3,,,,,,,,13,$223125.00,$478731.00
"100884949RR0001",2024-3-31 00:00:00,"27",12,3,6,1,,,,,,,27,$352768.00,$1146061.00
"100884956RR0001",2024-12-31 00:00:00,"27",7,14,7,,,,,,,,15,$119307.00,$615589.00
"100886381RR0001",2024-3-31 00:00:00,"27",14,9,1,,,,,,,,7,$314463.00,$314436.00
"100886407RR0001",2024-3-31 00:00:00,"27",8,6,2,,,,,,,,,,$395736.00
"100886415RR0001",2024-3-31 00:00:00,"27",10,7,3,,,,,,,,,,$272287.00
"100886522RR0001",2024-4-30 00:00:00,"27",2,,2,,,,,,,,23,$377160.00,$597649.00
"100886530RR0001",2024-6-30 00:00:00,"27",2,,1,1,,,,,,,44,$459141.00,$607686.00
"100886993RR0001",2024-3-31 00:00:00,"27",434,,2,7,,1,,,,,347,$4658574.00,$25630797.00
"100887025RR0001",2024-3-31 00:00:00,"27",101,,9,1,,,,,,,17,$98966.00,$3451854.00
"100887835RR0001",2024-6-30 00:00:00,"27",25,,5,4,1,,,,,,3,$68734.00,$1621192.00
"100889997RR0001",2024-6-30 00:00:00,"27",14,7,7,,,,,,,,1,,$481820.00
"100890011RR0001",2024-6-30 00:00:00,"27",4,3,1,,,,,,,,,,$189357.00
"100890094RR0001",2024-3-31 00:00:00,"27",3,,3,,,,,,,,,,$207144.00
"100890227RR0001",2024-6-30 00:00:00,"27",14,2,7,1,,,,,,,34,$26249.00,$682352.00
"100891134RR0001",2024-3-31 00:00:00,"27",,23,,,,,,,,,23,$88854.00,$88854.00
"100891191RR0001",2024-3-31 00:00:00,"27",3,8,2,,,,,,,,20,$179675.00,$354511.00
"100892272RR0001",2024-8-31 00:00:00,"27",,,,,,,,,,,4,$14791.00,$14791.00
"100892918RR0001",2024-3-31 00:00:00,"27",,,,,,,,,,,1,$16202.00,$16202.00
"100892959RR0001",2024-3-31 00:00:00,"27",29,15,13,,1,,,,,,39,$243038.00,$1579731.00
"100893379RR0001",2024-3-31 00:00:00,"27",16,4,11,1,,,,,,,0,$0.00,$979021.00
"100893528RR0001",2024-5-31 00:00:00,"27",2,,2,,,,,,,,5,$41219.00,$217687.00
"100904085RR0001",2024-3-31 00:00:00,"27",125,,8,1,1,,,,,,83,$784061.00,$7124748.00
"100910215RR0001",2024-3-31 00:00:00,"27",10,7,3,,,,,,,,29,$166262.00,$583772.00
"100914647RR0001",2024-12-31 00:00:00,"27",67,6,4,,,,,,,,20,$159385.00,$1324332.00
"100917020RR0001",2024-3-31 00:00:00,"27",1,,1,,,,,,,,3,$40176.00,$63820.00
"100931203RR0001",2024-3-31 00:00:00,"27",114,,,9,1,,,,,,220,$6017506.00,$15100941.00
"100960863RR0001",2024-12-31 00:00:00,"27",2,2,,,,,,,,,2,$3241.00,$50230.00
"100966175RR0001",2024-3-31 00:00:00,"27",14,10,3,1,,,,,,,11,$194284.00,$786480.00
"100977180RR0001",2024-3-31 00:00:00,"27",11,,9,1,,,,,,,9,$171979.00,$831094.00
"100987213RR0001",2024-3-31 00:00:00,"27",45,,9,1,,,,,,,69,$544307.00,$4685872.00
"101023059RR0001",2024-3-31 00:00:00,"27",6,,,,,,,,,,,,$243132.00
"101024560RR0001",2024-3-31 00:00:00,"27",2,,2,,,,,,,,3,$44966.00,$209587.00
"101026615RR0001",2024-11-30 00:00:00,"27",3,,2,,1,,,,,,8,$62416.00,$294753.00
"101027613RR0001",2024-3-31 00:00:00,"27",5,1,3,1,,,,,,,4,$36360.00,$280693.00
"101050417RR0001",2024-8-31 00:00:00,"27",30,,7,3,,,,,,,2,$31500.00,$1738021.00
"101051282RR0001",2024-6-30 00:00:00,"27",31,,5,4,1,,,,,,68,$546258.00,$2718460.00
"101051381RR0001",2024-6-30 00:00:00,"27",33,,,9,1,,,,,,92,$2700000.00,$5591426.00
